Date,StockList
2024-05-24,"['BEL', 'TATAPOWER', 'TATAMOTORS', 'LUPIN', 'JSL', 'TORNTPOWER', 'PHOENIXLTD', 'COLPAL', 'BHEL', 'CESC']"
2024-06-24,"['BEL', 'BHEL', 'TATAPOWER', 'PHOENIXLTD', 'CESC', 'GRASIM', 'CUMMINSIND', 'TRENT', 'BOSCHLTD', 'NCC']"
2024-07-23,"['BEL', 'PHOENIXLTD', 'OIL', 'NBCC', 'BHEL', 'CESC', 'GRASIM', 'TRENT', 'BOSCHLTD', 'NCC']"
2024-08-21,"['OIL', 'NBCC', 'BEL', 'BHEL', 'CESC', 'GRASIM', 'TRENT', 'NCC', 'TATAMOTORS', 'LUPIN']"
2024-09-18,"['BHARTIARTL', 'POWERGRID', 'COLPAL', 'OIL', 'NBCC', 'CESC', 'GRASIM', 'CUMMINSIND', 'TRENT', 'BOSCHLTD']"
2024-10-17,"['BHARTIARTL', 'CESC', 'GRASIM', 'TRENT', 'BOSCHLTD', 'VEDL', 'SUNPHARMA', 'TORNTPHARM', 'MOTHERSON', 'ICICIBANK']"
2024-11-14,"['OFSS', 'NAUKRI', 'ICICIBANK', 'DIVISLAB', 'PERSISTENT', 'FEDERALBNK', 'HDFCBANK', 'INDHOTEL', 'WIPRO', 'HCLTECH']"
2024-12-16,"['OFSS', 'CESC', 'TRENT', 'SUNPHARMA', 'ICICIBANK', 'BHARTIARTL', 'NAUKRI', 'PERSISTENT', 'FEDERALBNK', 'GRASIM']"
2025-01-14,"['INFY', 'WIPRO', 'DIVISLAB', 'M&M', 'MARICO', 'LUPIN', 'BIOCON', 'GRANULES', 'MUTHOOTFIN', 'EICHERMOT']"
2025-02-10,"['DIVISLAB', 'HDFCBANK', 'BHARTIARTL', 'PERSISTENT', 'MUTHOOTFIN', 'EICHERMOT', 'M&M', 'WIPRO', 'LUPIN', 'BIOCON']"
2025-03-11,"['BHARTIARTL', 'MUTHOOTFIN', 'BAJFINANCE', 'KOTAKBANK', 'JSWSTEEL', 'BAJAJFINSV', 'SRF', 'UPL', 'CHAMBLFERT', 'SHREECEM']"
2025-04-11,"['BHARTIARTL', 'JSWSTEEL', 'BAJFINANCE', 'CHAMBLFERT', 'EICHERMOT', 'KOTAKBANK', 'SRF', 'UPL', 'INDHOTEL', 'SHREECEM']"
2025-05-14,"['BHARTIARTL', 'BEL', 'CHOLAFIN', 'HDFCBANK', 'MARICO', 'ICICIBANK', 'JSWSTEEL', 'BAJAJFINSV', 'MUTHOOTFIN', 'CHAMBLFERT']"
