"Date","Price","Open","High","Low","Vol.","Change %"
"13-07-2022","8,487.35","8,563.45","8,573.75","8,479.00","775.48M","-0.43%"
"12-07-2022","8,524.30","8,551.05","8,578.05","8,510.15","859.62M","-0.80%"
"11-07-2022","8,593.40","8,525.30","8,606.20","8,515.85","942.47M","0.34%"
"08-07-2022","8,564.00","8,591.20","8,591.85","8,525.55","762.82M","0.49%"
"07-07-2022","8,522.50","8,507.15","8,530.60","8,474.30","879.57M","0.95%"
"06-07-2022","8,442.65","8,339.20","8,453.30","8,326.20","851.98M","1.31%"
"05-07-2022","8,333.65","8,382.35","8,440.00","8,319.00","798.53M","-0.13%"
"04-07-2022","8,344.10","8,281.75","8,351.70","8,254.80","827.52M","0.59%"
"01-07-2022","8,294.90","8,256.20","8,313.75","8,166.80","1.02B","0.05%"
"30-06-2022","8,290.80","8,303.80","8,356.65","8,267.65","994.73M","-0.24%"
"29-06-2022","8,310.55","8,260.80","8,338.70","8,255.30","1.06B","-0.36%"
"28-06-2022","8,340.85","8,293.35","8,356.85","8,258.80","900.71M","0.14%"
"27-06-2022","8,329.20","8,373.30","8,375.35","8,321.10","848.03M","0.85%"
"24-06-2022","8,258.60","8,229.35","8,271.70","8,213.75","839.26M","1.04%"
"23-06-2022","8,173.90","8,114.10","8,208.95","8,074.40","910.44M","0.99%"
"22-06-2022","8,093.45","8,174.35","8,180.50","8,080.20","890.98M","-1.52%"
"21-06-2022","8,218.55","8,098.45","8,241.40","8,082.20","1.06B","2.22%"
"20-06-2022","8,040.45","8,069.35","8,084.10","7,978.20","1.12B","-0.10%"
"17-06-2022","8,048.70","8,056.55","8,121.70","7,995.75","1.20B","-0.70%"
"16-06-2022","8,105.35","8,359.55","8,372.05","8,089.25","947.35M","-2.12%"
"15-06-2022","8,281.20","8,302.90","8,326.25","8,272.40","647.87M","-0.12%"
"14-06-2022","8,291.10","8,261.55","8,361.90","8,249.10","808.90M","-0.20%"
"13-06-2022","8,307.45","8,365.60","8,370.10","8,265.85","837.64M","-2.60%"
"10-06-2022","8,529.10","8,560.45","8,581.00","8,513.80","682.72M","-1.48%"
"09-06-2022","8,657.30","8,550.00","8,664.95","8,534.55","738.05M","0.72%"
"08-06-2022","8,595.60","8,655.75","8,678.75","8,561.60","805.64M","-0.37%"
"07-06-2022","8,627.60","8,654.35","8,661.95","8,596.00","773.26M","-0.87%"
"06-06-2022","8,703.35","8,689.95","8,720.85","8,627.95","751.83M","-0.12%"
"03-06-2022","8,713.80","8,835.50","8,847.40","8,705.90","792.93M","-0.60%"
"02-06-2022","8,766.45","8,694.15","8,773.70","8,675.75","850.63M","0.64%"
"01-06-2022","8,710.70","8,750.10","8,782.10","8,665.45","948.18M","-0.40%"
"31-05-2022","8,745.65","8,744.10","8,808.25","8,717.10","2.04B","-0.38%"
"30-05-2022","8,779.10","8,696.55","8,786.20","8,687.55","1.06B","2.01%"
"27-05-2022","8,606.15","8,583.00","8,613.10","8,538.95","926.10M","1.11%"
